
# Efinity Interface Configuration
# Version: 2022.1.226.1.9
# Date: 2022-12-14 08:46

# Copyright (C) 2017 - 2022 Efinix Inc. All rights reserved.

# [required | optional] (input|output|clkout), x, y, z, __bypass__|[~|!]<clock>, [[~|!]<pin_name>] | __vcc__ | __gnd__
input, 0, 118, 1, __bypass__, clk100
input, 70, 0, 1, __bypass__, FT_DATA_IN[0]
input, 41, 0, 1, __bypass__, FT_DATA_IN[1]
input, 58, 0, 1, __bypass__, FT_DATA_IN[2]
input, 17, 0, 1, __bypass__, FT_DATA_IN[3]
input, 59, 0, 1, __bypass__, FT_DATA_IN[4]
input, 29, 0, 1, __bypass__, FT_DATA_IN[5]
input, 28, 0, 1, __bypass__, FT_DATA_IN[6]
input, 40, 0, 1, __bypass__, FT_DATA_IN[7]
output, 69, 0, 2, __bypass__, FT_DATA_OE[0]
output, 40, 0, 0, __bypass__, FT_DATA_OE[1]
output, 57, 0, 2, __bypass__, FT_DATA_OE[2]
output, 16, 0, 0, __bypass__, FT_DATA_OE[3]
output, 58, 0, 0, __bypass__, FT_DATA_OE[4]
output, 28, 0, 0, __bypass__, FT_DATA_OE[5]
output, 27, 0, 2, __bypass__, FT_DATA_OE[6]
output, 39, 0, 2, __bypass__, FT_DATA_OE[7]
output, 68, 0, 0, __bypass__, FT_DATA_OUT[0]
output, 39, 0, 0, __bypass__, FT_DATA_OUT[1]
output, 56, 0, 0, __bypass__, FT_DATA_OUT[2]
output, 15, 0, 0, __bypass__, FT_DATA_OUT[3]
output, 57, 0, 0, __bypass__, FT_DATA_OUT[4]
output, 27, 0, 0, __bypass__, FT_DATA_OUT[5]
output, 26, 0, 0, __bypass__, FT_DATA_OUT[6]
output, 38, 0, 0, __bypass__, FT_DATA_OUT[7]
input, 16, 0, 1, __bypass__, FT_PWR_n
output, 3, 0, 0, __bypass__, FT_RD_Strobe_n
input, 80, 0, 3, __bypass__, FT_RX_Full_n
input, 71, 0, 1, __bypass__, FT_TX_Enable_n
output, 2, 0, 0, __bypass__, FT_WR_Strobe
output, 160, 82, 0, __bypass__, GPIO[1]
output, 160, 89, 2, __bypass__, GPIO[2]
output, 160, 92, 0, __bypass__, GPIO[3]
output, 160, 99, 2, __bypass__, GPIO[4]
output, 160, 104, 2, __bypass__, GPIO[5]
output, 160, 107, 0, __bypass__, GPIO[6]
output, 160, 142, 0, __bypass__, GPIO[7]
output, 160, 144, 2, __bypass__, GPIO[8]
output, 0, 64, 2, __bypass__, LedG
optional input, 18, 243, 3, __bypass__, quartz_clk
